Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats
BEM,±1.1%,4,3,-++-,4D_Mixed_-++-,Mixed,🔴 DOWN,16%,1/6 (2443)
BEM,±1.1%,4,3,-+-+,4D_Reversal_Up,Reversal,🔴 DOWN,50%,6/12 (2443)
BEM,±1.1%,4,3,-+--,4D_Mixed_-+--,Mixed,🔴 DOWN,25%,1/4 (2443)
BEM,±1.1%,4,3,--++,4D_Reversal_Up,Reversal,🔴 DOWN,16%,1/6 (2443)
BEM,±1.1%,4,3,--+-,4D_Mixed_--+-,Mixed,🔴 DOWN,25%,1/4 (2443)
BEM,±1.1%,4,3,---+,4D_Reversal_Up,Reversal,🟢 UP,50%,1/2 (2443)
BGRIM,±1.8%,4,5,+,1_Days_Up,Trend,🟢 UP,46%,164/356 (2069)
BGRIM,±1.8%,4,5,-,1_Days_Down,Trend,🔴 DOWN,43%,159/362 (2069)
BGRIM,±1.8%,4,5,++,2_Days_Up,Trend,🟢 UP,36%,29/79 (2069)
BGRIM,±1.8%,4,5,+-,2D_Reversal_Down,Reversal,🔴 DOWN,39%,21/53 (2069)
BGRIM,±1.8%,4,5,-+,2D_Reversal_Up,Reversal,🟢 UP,56%,46/82 (2069)
BGRIM,±1.8%,4,5,--,2_Days_Down,Trend,🟢 UP,51%,47/92 (2069)
BGRIM,±1.8%,4,5,+++,3_Days_Up,Trend,🔴 DOWN,43%,7/16 (2069)
BGRIM,±1.8%,4,5,++-,3D_Reversal_Down,Reversal,🔴 DOWN,53%,8/15 (2069)
BGRIM,±1.8%,4,5,+-+,3D_Mixed_+-+,Mixed,🟢 UP,60%,6/10 (2069)
BGRIM,±1.8%,4,5,+--,3D_Reversal_Down,Reversal,🟢 UP,38%,7/18 (2069)
BGRIM,±1.8%,4,5,-++,3D_Reversal_Up,Reversal,🔴 DOWN,26%,6/23 (2069)
BGRIM,±1.8%,4,5,-+-,3D_Mixed_-+-,Mixed,🟢 UP,35%,5/14 (2069)
BGRIM,±1.8%,4,5,--+,3D_Reversal_Up,Reversal,🟢 UP,54%,19/35 (2069)
BGRIM,±1.8%,4,5,---,3_Days_Down,Trend,🔴 DOWN,60%,14/23 (2069)
BGRIM,±1.8%,4,5,++++,4_Days_Up,Trend,🟢 UP,66%,2/3 (2069)
BGRIM,±1.8%,4,5,+++-,4D_Reversal_Down,Reversal,🔴 DOWN,33%,1/3 (2069)
BGRIM,±1.8%,4,5,++-+,4D_Mixed_++-+,Mixed,🔴 DOWN,66%,2/3 (2069)
BGRIM,±1.8%,4,5,++--,4D_Reversal_Down,Reversal,🟢 UP,57%,4/7 (2069)
BGRIM,±1.8%,4,5,+-++,4D_Mixed_+-++,Mixed,🟢 UP,60%,3/5 (2069)
